species	tetrahymena	bacteria_history	replicate	auc_log	gr	k_lin	OD_Min	OD_Max
HAMBI0262	no	anc	B	7.264193804535331	0.0192544914154194	0.04751070804820159	0.099	0.147
HAMBI0262	no	anc	C	6.709801389551305	0.01898198599697006	0.0443378940222026	0.098	0.14300000000000002
HAMBI0262	no	anc	D	5.651067501605951	0.0182373020414143	0.04346175536776181	0.099	0.14400000000000002
HAMBI0262	no	anc	E	5.8072572761382935	0.01840004829262631	0.03546551571246087	0.099	0.136
HAMBI0262	no	anc	F	7.19400019429527	0.01571717437141853	0.03995073556160124	0.099	0.14
HAMBI0262	no	anc	G	6.560831741257553	0.01565704558870845	0.03532674472653445	0.098	0.135
HAMBI0262	no	anc	H	6.703846626774814	0.0191196367068105	0.04783445972473776	0.099	0.149
HAMBI0403	no	anc	A	103.23823584025862	0.2834985957716698	0.2386701305165477	0.099	0.34299999999999997
HAMBI0403	no	anc	B	102.82911547134113	0.28574947071679396	0.2340815294535077	0.099	0.337
HAMBI0403	no	anc	C	102.37874974127492	0.28931635213679774	0.23638739145407817	0.098	0.337
HAMBI0403	no	anc	D	102.14011539048316	0.2934438149798101	0.23545963418279983	0.098	0.337
HAMBI0403	no	anc	E	104.09777233609556	0.2817908628747224	0.23548174458698415	0.098	0.337
HAMBI0403	no	anc	F	102.74842081876888	0.2919338087970929	0.2345244476702149	0.099	0.337
HAMBI0403	no	anc	G	103.73370480149732	0.2906748564174986	0.2378471420655876	0.099	0.342
HAMBI0403	no	anc	H	104.12363367538131	0.293050041765443	0.23953494485688184	0.099	0.342
HAMBI1279	no	anc	A	102.80344613164976	0.22193806984932327	0.27002380013366767	0.1	0.373
HAMBI1279	no	anc	B	96.31939038573276	0.20221212998315816	0.2630807010794771	0.1	0.3670000000000001
HAMBI1279	no	anc	C	96.94074626184606	0.20334274962317697	0.266884580653762	0.1	0.37
HAMBI1279	no	anc	D	97.33128105534006	0.20511580846865865	0.2680810729540426	0.1	0.373
HAMBI1279	no	anc	E	99.65643809304795	0.213303876991386	0.2681525306391545	0.1	0.371
HAMBI1279	no	anc	F	98.48541755417584	0.20993155662143695	0.2736706361233164	0.1	0.377
HAMBI1279	no	anc	G	97.30403483123614	0.20216749628956027	0.27227123921349844	0.1	0.377
HAMBI1279	no	anc	H	97.93086087330325	0.20314085178333924	0.2727997213717037	0.098	0.376
HAMBI1279	no	anc	A	97.50020682716256	0.2087378995563688	0.2684438485289081	0.099	0.373
HAMBI1287	no	anc	B	134.6692000188482	0.2992729503679344	0.43986069108620146	0.098	0.551
HAMBI1287	no	anc	C	133.61013286114363	0.29802933752700944	0.4201074451655591	0.099	0.535
HAMBI1287	no	anc	D	129.22294817976564	0.29374189514125437	0.4190983364370945	0.1	0.534
HAMBI1287	no	anc	E	129.5484873466652	0.2966301586123973	0.41358985421288025	0.1	0.531
HAMBI1287	no	anc	F	129.12993016720722	0.29530612503513187	0.4241333381670583	0.1	0.539
HAMBI1287	no	anc	G	128.89914147405565	0.29773650059273343	0.4225707355446289	0.1	0.537
HAMBI1287	no	anc	H	130.18302935564276	0.3000328076609299	0.4310523398490237	0.099	0.544
HAMBI1292	no	anc	A	3.59884858754966	0.00531153133581286	0.00498451247049186	0.099	0.105
HAMBI1292	no	anc	B	3.025342530993932	0.00568559341336473	0.00469506903809648	0.099	0.105
HAMBI1292	no	anc	C	3.532411309808258	0.00216718212683815	0.00412140523084215	0.099	0.105
HAMBI1292	no	anc	D	4.604297516229339	0.00275326435321572	0.00651977689754056	0.099	0.108
HAMBI1292	no	anc	E	3.3119446811339075	0.00423998888843432	0.00541385688966639	0.102	0.109
HAMBI1292	no	anc	F	2.8892632951080164	0.00200831021092221	0.0036701642015012	0.101	0.106
HAMBI1292	no	anc	G	3.9070613157070624	0.00655896672233752	0.00523356614104089	0.1	0.107
HAMBI1292	no	anc	H	3.0781732787139693	0.00222062992059211	0.00436303914535993	0.099	0.106
HAMBI1299	no	anc	A	104.86092497854166	0.2584749696832844	0.3824252777145062	0.104	0.49
HAMBI1299	no	anc	B	116.82520418414111	0.2716478051466729	0.4489165675150312	0.1	0.5529999999999999
HAMBI1299	no	anc	C	107.37818387207297	0.256165609323355	0.3665316679671158	0.1	0.471
HAMBI1299	no	anc	D	111.94534114739754	0.2603428679283614	0.4073533854917133	0.1	0.514
HAMBI1299	no	anc	E	105.93232225900806	0.24501991598343495	0.34987590919950323	0.101	0.454
HAMBI1299	no	anc	F	116.70636488261128	0.2808986792010171	0.4570548405254606	0.099	0.5579999999999999
HAMBI1299	no	anc	G	100.13918598930792	0.2545921195477805	0.30973256745155964	0.1	0.415
HAMBI1299	no	anc	H	109.43040825067942	0.25358473624998007	0.4010458840356197	0.101	0.505
HAMBI1842	no	anc	A	50.62315541484663	0.12862136830667778	0.27019065569773787	0.1	0.373
HAMBI1842	no	anc	B	57.637666823669505	0.13495509151802465	0.2884873627368764	0.1	0.391
HAMBI1842	no	anc	C	50.11738480023893	0.08819568137740785	0.42462234096477586	0.1	0.5329999999999999
HAMBI1842	no	anc	D	56.6787384123396	0.09401201746740848	0.4362150886575995	0.099	0.545
HAMBI1842	no	anc	E	52.83871039146344	0.11266644429800132	0.3108193950032906	0.1	0.414
HAMBI1842	no	anc	F	59.714132916381786	0.11558728346386504	0.3097211411626935	0.1	0.411
HAMBI1842	no	anc	G	51.79313959575078	0.12617249156532703	0.2746717605462372	0.1	0.37799999999999995
HAMBI1842	no	anc	H	45.70484734132681	0.11988038691262036	0.25000246614561017	0.101	0.353
HAMBI1896	no	anc	A	47.96128001684751	0.09395489950929892	0.4071923704023237	0.102	0.511
